"","sample_name","metric","value"
"1","G18000072","contamination_status",1
"2","G18000072","percentage_contamination",29.87
"3","G18000072","contigs",309
"4","G18000072","N50",119306
"5","G18000072","total_length",12143060
"6","G18000894","contamination_status",1
"7","G18000894","percentage_contamination",14.15
"8","G18000894","contigs",737
"9","G18000894","N50",118583
"10","G18000894","total_length",12096422
"11","G18001238","contamination_status",0
"12","G18001238","percentage_contamination",0
"13","G18001238","contigs",81
"14","G18001238","N50",238107
"15","G18001238","total_length",6992649
"16","G18001244","contamination_status",0
"17","G18001244","percentage_contamination",0
"18","G18001244","contigs",100
"19","G18001244","N50",271864
"20","G18001244","total_length",7262085
"21","G18001246","contamination_status",0
"22","G18001246","percentage_contamination",0
"23","G18001246","contigs",82
"24","G18001246","N50",299115
"25","G18001246","total_length",7015263
"26","G18001255","contamination_status",0
"27","G18001255","percentage_contamination",0
"28","G18001255","contigs",23
"29","G18001255","N50",699713
"30","G18001255","total_length",6408294
"31","G18001256","contamination_status",0
"32","G18001256","percentage_contamination",0
"33","G18001256","contigs",61
"34","G18001256","N50",293593
"35","G18001256","total_length",7083728
"36","G18001257","contamination_status",0
"37","G18001257","percentage_contamination",0
"38","G18001257","contigs",56
"39","G18001257","N50",395978
"40","G18001257","total_length",6734126
"41","G18001259","contamination_status",0
"42","G18001259","percentage_contamination",0
"43","G18001259","contigs",64
"44","G18001259","N50",267306
"45","G18001259","total_length",7096055
"46","G18001263","contamination_status",0
"47","G18001263","percentage_contamination",0
"48","G18001263","contigs",66
"49","G18001263","N50",272690
"50","G18001263","total_length",6800632
"51","G18001264","contamination_status",0
"52","G18001264","percentage_contamination",0
"53","G18001264","contigs",61
"54","G18001264","N50",238767
"55","G18001264","total_length",7252767
"56","G18001265","contamination_status",0
"57","G18001265","percentage_contamination",0
"58","G18001265","contigs",65
"59","G18001265","N50",262255
"60","G18001265","total_length",7131846
"61","G18001266","contamination_status",0
"62","G18001266","percentage_contamination",0
"63","G18001266","contigs",24
"64","G18001266","N50",698320
"65","G18001266","total_length",6426260
"66","G18001274","contamination_status",0
"67","G18001274","percentage_contamination",0
"68","G18001274","contigs",68
"69","G18001274","N50",231618
"70","G18001274","total_length",7229275
"71","G18001276","contamination_status",0
"72","G18001276","percentage_contamination",0
"73","G18001276","contigs",26
"74","G18001276","N50",578858
"75","G18001276","total_length",6405714
"76","G18001278","contamination_status",0
"77","G18001278","percentage_contamination",0
"78","G18001278","contigs",31
"79","G18001278","N50",508406
"80","G18001278","total_length",6425726
"81","G18001281","contamination_status",0
"82","G18001281","percentage_contamination",0
"83","G18001281","contigs",45
"84","G18001281","N50",267005
"85","G18001281","total_length",6324948
"86","G18001282","contamination_status",0
"87","G18001282","percentage_contamination",0
"88","G18001282","contigs",73
